premise,hypothesis,label
yeah i don't know cut California in half or something,Yeah. I'm not sure how to make that fit. Maybe you could cut California in half or just resize it to make it fit.,1
actual names will not be used,"For the sake of privacy, actual names are not used.",1
The film was directed by Randall Wallace.,The film was directed by Randall Wallace and stars Mel Gibson.,1
" ""How d'you know he'll sign me on?""Anse studied his own unkempt if now clean reflection in the shaving mirror on the wall.",Anse looked at himself in a cracked mirror. ,1
"In the light of the candles his cheeks looked even more hollow tonight, and he moved stiffly as might a man who was not only bone-tired in body, thought Drew, but weary in mind as well.",Drew regarded his best friend and noted that in this light he looked exceptionally tired and worn.,1
"The summary rating levels include achieved results, minimally satisfactory, and unsatisfactory.",The rating level of exceptional was reserved for the best performances.,0
"If we ever prove that George W. Bush has lied to us at our expense, then this will be a factor that should be weighed in determining his ability to truly lead this country.",George W. Bush is the name of Obama's pet ferret.,0
"Astley Priors was a pleasant red-brick edifice, surrounded by well-wooded grounds which effectually shielded the house from observation from the road.",Astley Priors was a modern high-rise in the center of the city. ,0
"He was too old, his back hurt too much, he had too many outside interests ...","Time had left him behind, leaving a man who had too little to care about such pursuits.",1
"Postal Service costs from Table 2, Figure 1 shows that as per capita volume increases, the mail processing proportion of total cost will increase and the delivery proportion will decrease.","In the latest yearly report the Postal Service reported that as per capita volume increases, the mail processing proportion of total cost will increase and the delivery proportion will decrease using the information provided in Table 2, Figure 1.",1
To Be to Be is a 1983 American war comedy film directed by Alan Johnson and produced by Mel Brooks.,To Be or Not to Be is a 1983 American war comedy film directed by Alan Johnson and produced by Mel Brooks.,1
Politicians skew their politics to suit the polls.,"Politicians always have rigid politics, that does not change to fit polls.",0
Individuals and corporations in Oklahoma are required to pay fee charges to both levels of government : : state and local.,Individuals and corporations in Oklahoma are required to pay taxes or fee charges to both levels of government: state and local.,1
"And his headquarters in the fertile Santa Cruz Valley was a ranch which was also a fort, a fort even the Apaches avoided after they had suffered two overwhelming defeats there.",The Apaches feared the potential new weapons in the Santa Cruz Valley fort.,1
uh just in you know far far out weigh the,Be at least double the weight...,1
"Pressure from the church and state eventually forced a ban on anvil weddings, in 1940.",The Church was mostly responsible for the ban.,1
that's right i mean the Israeli's aren't they're not afraid of anything,The Israelis are trained to be fearless.,1
Who can blame him for lying to the gullible young?,Why would anyone blame him for telling dumb young people they should buy it?,1
I don't know.,I don't know what to say.,1
Yes but look here  ,"No, spare me no more I am through with you.",0
yeah the Texas Rangers they they lost i think,I am not certain but one of them lost that day.,1
"crowded, busy venue may allow a level of privacy that addresses the shame and stigma many individuals feel about problems related to alcohol misuse and abuse."," A crowded, busy venue may allow some level of privacy as individuals don't feel like they are the center of attention.",1
he did great,He did not impress me.,0
The Commission does not believe that Congress intended to force resident aliens to choose between temporary trips outside the United States and continued representation in pending litigation.,Temporary trips outside the United States include any border crossing that lasts more than one day.,1
"Dozens of men and women, each chained by one ankle, surrounded each one of seven fires.",Prisoners were put around fires.,1
"After finishing high school in Cozad, Neb., German went off to the University of Nebraska-Lincoln.",German didn't finish high school in Cozad due to dropping out.,0
You fired.,You are hired. ,0
Adrin's alone.,All of Adrin's friends died.,1
"Another is Malibu Lagoon State Park, one of the few remaining wetlands in Caleornia.","Malibu Lagoon State Park has been a dry, arid desert for a while.",0
