Claim,Evidence,label
We should introduce school vouchers,"Among the many educational reform efforts, such as charter schools, school vouchers, magnet schools, and alternative schools, the full-service community school model is one of many educational reform efforts that are intended to increase student achievement, but the full-service community school model specifically focuses on the development of the community as a whole.",0
We should legalize insider trading,"The U.S. Securities and Exchange Commission was established the following year, which helped combat insider trading and reducing transaction risk.  ",0
We should subsidize investigative journalism,"The film won an Emmy Award (1980), George Polk Award[REF] for investigative journalism on TV, Hugh M. Hefner First Amendment Award,[REF] and Best Documentary at the Mannheim Film Festival [REF].",0
We should further exploit nuclear power,"a 2001 survey by the European Commission found that ""only 10.1 percent of Europeans trusted the nuclear industry",1
We should ban whaling,The US and several other nations are whaling under aboriginal whaling auspices.,0
Hunting should be banned,"The semi-nomadic eco-centred Inuit were fishers and hunters harvesting lakes, seas, ice platforms and tundra.",0
We should ban abortions,Total number of abortions in 2009 was 40 528 [REF][REF] of which 14 629 (i.e.,0
Sex education should be mandatory,"Virginity pledges and sexual abstinence education programs are often promoted in lieu of contraceptives and safe-sex education programs. This may entail exposing some teenagers to increased risk of sexually transmitted infections, because about 60 percent of teenagers who pledge virginity until marriage do engage in pre-marital sex and are then one-third less likely to use contraceptives than their peers who have received more conventional sex education [REF",1
We should protect Antarctica,"Antarctica's largest scientific base, the United States' McMurdo Station, as well as the New Zealand Scott Base are on the southern shore of the island.",0
We should ban trans fats usage in food,"The former federal assistant health minister, Christopher Pyne, asked fast food outlets to reduce their trans fat usage.",1
We should legalize insider trading,"One empirical study has found that insiders using 10b5-1 plans do in fact make above-market profits (the paper also alludes to other potential loopholes that might explain this result),[REF] and another has found that the presence of publicly announced 10b5-1 plans has economic effects on securities markets that are generally associated with insider trading [REF].",0
We should fight urbanization,"Josiah Strong was one of the founders of the Social Gospel movement that sought to apply Protestant religious principles to solve the social ills brought on by industrialization, urbanization and immigration.",0
The free market should be protected,"The existence of monopoly and the potential for cartels, which would later form the core of competition law policy, could distort the benefits of free markets to the advantage of businesses at the expense of consumer sovereignty.",1
We should end censorship,"Salman Rushdie, author of The Satanic Verses, criticized Random House for the decision, saying, ""This is censorship by fear and it sets a very bad precedent indeed.""[REF]",0
We should disband NASA,"1982 May 21: T-38 jet struck by lightning, damaged : Astronaut Gordon Fullerton was piloting a solo flight of a NASA T-38 jet aircraft from Houston, Texas to Cleveland, Ohio to make a speaking engagement.",0
We should abolish marriage,"In 2003, the British Columbia Court of Appeal made a unanimous decision that limiting the definition of marriage to heterosexual couples violated equality rights.",0
We should abolish capital punishment,Biden opposes capital punishment and supports the continuation of the war on drugs.,1
We should subsidize higher education,"On 9 December 2005, the Higher Education Support Amendment (Abolition of Compulsory Up-front Student Union Fees) Bill 2005 was passed in the Senate, and received the Royal Assent on 19 December 2005.",0
We should ban partial birth abortions,The Court deemed abortion a fundamental right under the United States Constitution,1
We should end daylight saving times,Changes to DST rules cause problems in existing computer installations.,1
We should subsidize public service broadcasters,"First, the 1955 legislation authorizing a public television system in the state mandated that these stations serve the school populations in their areas first, before all other considerations.",0
We should ban lotteries,"Drawing a distinction between the manufacture of goods and the regulation of certain goods themselves ""inherently evil"", the Court maintained that the issue did not concern the power to keep certain immoral products out of the stream of interstate commerce, distinguishing previous cases upholding Congress's power to control lottery schemes, prostitution, and liquor.",0
We should disband ASEAN,"In May 2000, the finance minister of the ASEAN agreed through the ""Chiang Mai Initiative"" to plan for closer monetary and financial co-operation [REF].",0
We should protect Antarctica,"In 1996, NASA scientist David McKay published a study suggesting the existence of nanofossils - fossils of Martian nanobacteria - in ALH84001, a meteorite originating from Mars and found in Antarctica [REF].",0
We should limit the right of asylum,"The advocates of world government, who regard patriotism as the symptom of a diseased mind, took a step closer to their goal of compulsory asylum 'cure' for opponents of UNESCO, when, on January 18, the U.S. House of Representatives passed the Alaska Mental Health Act.",0
We should abolish the two-party system,"Since its inception, its chief opposition has been the Democratic Party",0
We should fight global warming,"PSR presses for policies to curb global warming, generate what they consider to be a sustainable energy future, minimize toxic pollution of air, food and drinking water, and prevent human exposure to toxic substances.",1
We should fight global warming,Many climate scientists state that they are put under enormous pressure to distort or hide any scientific results which suggest that human activity is to blame for global warming.,0
We should legalize ivory trade,"Domestic slaves often lived and ate with their owners, were allowed to work on their own, and could possess their own slaves and livestock; loyal slaves could even be given part of a chiefdom, and it was not unusual for slaves to acquire positions of great influence and power.",0
We should abolish primary elections,"Guy deFuria's statement was about as lengthy as Chadwick's, charging that the county G.O.P. chairman, Arthur Bretherick sent letters to ""state job-holders threatening their jobs in violation of the governor's announced position of non-interference in Primary elections..Among those threatened are Civil Service employees (protected against political interference by law) and persons subject to the Federal Hatch Act."" .",0
We should abolish temporary employment,"A.D.I.G. (Additional Deputy Inspector-General) ""Tiger"" Kelkar has gone to Vigatpore, outside Bombay, to check on Inspector G. V. Ghote's temporary work there.",0
We should abolish personality tests,"Users of personality tests have to assume that the subjective responses that are given by participants on such tests, represent the actual personality of those participants.",0
We should limit the freedom of speech,"The constitution and law generally provide for freedom of speech and the press; however, growing economic pressures lead journalists to practice self-censorship.",0
We should disband NATO,The protesters urged the Spanish government not to support any US military intervention or NATO retaliation [REF].,0
We should subsidize journalism,"Conflict Analysis also provides guidance on mapping the hopes, needs, and fears of all parties to a conflict, including outwardly ""impartial"" third parties; and acknowledges the potential role of creativity, rather than assuming as war journalism does, that the positions of elites, power gradients and the struggle for power are the most important determinants of a conflict [REF].",0
We should further exploit natural gas,U.S. federal safety law now requires natural gas companies to conduct testing for gas leaks upstream of their customer's gas meters.,0
We should raise the retirement age,"Many Japanese companies raised the retirement age they had set, partly in response to this legislation. And despite mandatory retirement policies, many Japanese companies allow their employees to continue working beyond the age of 60, although generally at reduced wages.",1
We should legalize polygamy,Enforcement of the 1890 Manifesto caused various splinter groups to leave the LDS Church in order to continue the practice of plural marriage [REF]. Polygamy among these groups persists today in Utah and neighboring states as well as in the spin-off colonies.,0
Community service should be mandatory,"U.S. Courts of Appeals, in Immediato v. Rye Neck School District, Herndon v. Chapel Hill, and Steirer v. Bethlehem School District, have ruled that the use of community service as a high school graduation requirement did not violate the Thirteenth Amendment [REF].",0
We should subsidize journalism,"In 1996, The Committee to Protect Journalists awarded him an International Press Freedom Award,[REF] ""an annual recognition of courageous journalism"" [REF].",0
We should disband the United Nations,"In September 2005, a comprehensive report was published by the Chernobyl Forum, comprising a number of agencies including the International Atomic Energy Agency (IAEA), the World Health Organization (WHO), United Nations bodies and the Governments of Belarus, the Russian Federation and Ukraine.",0
We should protect Antarctica,"For a time, McMurdo had Antarctica's only television station, AFAN-TV, running vintage programs provided by the military.",0
Casinos should be banned,Hundreds of Jamul residents showed up to express almost unanimous opposition to the casino.,0
We should adopt direct democracy,The only form of democracy considered acceptable to many anarchists is direct democracy.,1
We should ban strip clubs,"After a new blue law is passed, ""all strip clubs are to be closed down"", Omaha and Shelly are put out of work.",0
We should further exploit wind power,Wind power output reduces spot market prices in general via the merit order effect; in 2008 this caused a net reduction of pre-tax electricity prices (balancing the increase from the feed-in law) [REF].,1
We should abolish the Olympic Games,"After the success of the 1896 Games, the Olympics entered a period of stagnation that threatened their survival.",0
The free market should be protected,Neoclassical economic theorists tend to view tariffs as distortions to the free market.,0
We should introduce a flat tax,The tax on the tax exemption is computed by applying the nominal flat tax rate to the exemption.,0
We should abandon television,"The article states that television can help young people discover where they fit into society, develop closer relationships with peers and family, and teach them to understand complex social aspects of communication [REF].",1
We should abolish no-knock warrants,A County Police spokesman initially stated that a no-knock warrant had been issued for Calvo's home.,0
